Artist	YT_channel	Owner	Confirmed	Accept	Reject	Comments
Eminem	UCfM3zsQsOnfWNUppiycmBuw		Yes			
Fort Minor						
Hilltop Hoods	UC3MvNfKIhwubtPr2LMOFSZA		Yes			
Dope						
Transmission Zero						
Bullet For My Valentine						
Foo Fighters	UCi2KNss4Yx73NG0JARSFe0A		Yes			
John 5						
Dave Grohl						
The Black Keys	UCJL3h2-wEOB6EigQOBZ3ryg		Yes			
Flux Pavilion						
Creo						
And So I Watch You from Afar						
N'to						
Metalocalypse: Dethklok						
Dropkick Murphys						
Oceans						
RAU2	UCktMU-6wq3QYTnfog7TzAog	No	Yes			
